Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,018,false,Rx,0,8,70,80,0,0,0,0,0,150
0,02C,false,Rx,0,8,0,70,46,0,0,0,0,116
0,050,false,Rx,0,8,0,1,0,0,0,0,0,1
0,0A6,false,Rx,0,8,7,128,7,128,7,128,7,128
0,251,false,Rx,0,8,0,150,94,0,0,0,0,244
0,260,false,Rx,0,8,0,74,192,0,0,0,0,10
0,316,false,Rx,0,8,0,1,0,0,0,0,0,1
0,544,false,Rx,0,8,0,0,0,0,0,0,0,0
0,593,false,Rx,0,8,178,180,179,181,0,0,0,0
0,4F1,false,Rx,0,8,0,0,0,0,0,0,0,0
10000,018,false,Rx,0,8,70,86,0,0,0,0,0,156
10000,02C,false,Rx,0,8,16,70,108,0,0,0,0,194
10000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
10000,251,false,Rx,0,8,16,149,242,0,0,0,0,151
10000,260,false,Rx,0,8,16,73,82,0,0,0,0,171
20000,018,false,Rx,0,8,70,92,2,0,0,0,0,164
20000,02C,false,Rx,0,8,32,69,10,0,0,0,0,111
20000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
20000,0A6,false,Rx,0,8,7,144,7,144,7,144,7,144
20000,251,false,Rx,0,8,32,147,123,0,0,0,0,46
20000,260,false,Rx,0,8,32,72,38,0,0,0,0,142
20000,316,false,Rx,0,8,0,1,0,0,0,0,0,1
20000,544,false,Rx,0,8,16,0,0,0,0,0,0,0
30000,018,false,Rx,0,8,70,98,1,0,0,0,0,169
30000,02C,false,Rx,0,8,48,69,25,0,0,0,0,142
30000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
30000,251,false,Rx,0,8,48,145,115,0,0,0,0,52
30000,260,false,Rx,0,8,48,71,47,0,0,0,0,166
40000,018,false,Rx,0,8,70,105,1,0,0,0,0,176
40000,02C,false,Rx,0,8,64,69,170,0,0,0,0,47
40000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
40000,0A6,false,Rx,0,8,7,160,7,160,7,160,7,160
40000,251,false,Rx,0,8,64,143,153,0,0,0,0,104
40000,260,false,Rx,0,8,64,71,173,0,0,0,0,52
40000,316,false,Rx,0,8,0,1,0,0,0,0,0,1
40000,544,false,Rx,0,8,32,0,0,0,0,0,0,0
50000,018,false,Rx,0,8,70,111,1,0,0,0,0,182
50000,02C,false,Rx,0,8,80,68,124,0,0,0,0,16
50000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
50000,251,false,Rx,0,8,80,141,73,0,0,0,0,38
50000,260,false,Rx,0,8,80,70,247,0,0,0,0,141
60000,018,false,Rx,0,8,70,117,0,0,0,0,0,187
60000,02C,false,Rx,0,8,96,68,64,0,0,0,0,228
60000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
60000,0A6,false,Rx,0,8,7,176,7,176,7,176,7,176
60000,251,false,Rx,0,8,96,140,237,0,0,0,0,217
60000,260,false,Rx,0,8,96,70,15,0,0,0,0,181
60000,316,false,Rx,0,8,0,1,0,0,0,0,0,1
60000,544,false,Rx,0,8,48,0,0,0,0,0,0,0
70000,018,false,Rx,0,8,70,123,0,0,0,0,0,193
70000,02C,false,Rx,0,8,112,68,105,0,0,0,0,29
70000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
70000,251,false,Rx,0,8,112,138,29,0,0,0,0,23
70000,260,false,Rx,0,8,112,69,220,0,0,0,0,145
80000,018,false,Rx,0,8,70,130,3,0,0,0,0,203
80000,02C,false,Rx,0,8,128,68,35,0,0,0,0,231
80000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
80000,0A6,false,Rx,0,8,7,192,7,192,7,192,7,192
80000,251,false,Rx,0,8,128,136,211,0,0,0,0,219
80000,260,false,Rx,0,8,128,69,84,0,0,0,0,25
80000,316,false,Rx,0,8,0,1,0,0,0,0,0,1
80000,544,false,Rx,0,8,64,0,0,0,0,0,0,0
90000,018,false,Rx,0,8,70,136,0,0,0,0,0,206
90000,02C,false,Rx,0,8,144,68,106,0,0,0,0,62
90000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
90000,251,false,Rx,0,8,144,134,213,0,0,0,0,235
90000,260,false,Rx,0,8,144,68,222,0,0,0,0,178
100000,018,false,Rx,0,8,70,142,0,0,0,0,0,212
100000,02C,false,Rx,0,8,160,68,110,0,0,0,0,82
100000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
100000,0A6,false,Rx,0,8,7,208,7,208,7,208,7,208
100000,251,false,Rx,0,8,160,132,68,0,0,0,0,104
100000,260,false,Rx,0,8,160,68,80,0,0,0,0,52
100000,316,false,Rx,0,8,0,1,0,0,0,0,0,1
100000,544,false,Rx,0,8,80,0,0,0,0,0,0,0
100000,4F1,false,Rx,0,8,16,0,0,0,0,0,0,16
110000,018,false,Rx,0,8,70,148,0,0,0,0,0,218
110000,02C,false,Rx,0,8,176,68,119,0,0,0,0,107
110000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
110000,251,false,Rx,0,8,176,130,198,0,0,0,0,248
110000,260,false,Rx,0,8,176,68,27,0,0,0,0,15
120000,018,false,Rx,0,8,70,154,1,0,0,0,0,225
120000,02C,false,Rx,0,8,192,68,168,0,0,0,0,172
120000,050,false,Rx,0,8,0,1,0,0,0,0,0,1
120000,0A6,false,Rx,0,8,7,224,7,224,7,224,7,224
120000,251,false,Rx,0,8,192,128,124,0,0,0,0,188
120000,260,false,Rx,0,8,192,68,51,0,0,0,0,55
